"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2017-2019","Europe","Estonia","76.94","76.93914","","","","","OECD 2017-19"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2021","Americas","Honduras","34.41","34.41363","","","","","WHO MD Survey 2021"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2017-2019","Europe","Hungary","111.13","111.12955","","","","","OECD 2017-19"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2017-2019","Europe","Iceland","149.70","149.70060","","","","","OECD 2017-19"
"Total density per million population: Radiotherapy units","Published","2017-2021","Europe","Czechia","10.65","10.64525","","","","","IAEA 2017-21"
"Total density per million population: Radiotherapy units","Published","2017-2021","Africa","Gabon","0.90","0.89847","","","","","IAEA 2017-21"
"Total density per million population: Radiotherapy units","Published","2017-2021","Europe","Georgia","5.26","5.26448","","","","","IAEA 2017-21"
"Total density per million population: Radiotherapy units","Published","2017-2021","Europe","Germany","10.68","10.68223","","","","","IAEA 2017-21"
"Total density per million population: Radiotherapy units","Published","2017-2021","Europe","Republic of Moldova","0.99","0.99157","","","","","IAEA 2017-21"
"Total density per million population: Radiotherapy units","Published","2017-2021","Europe","Romania","3.59","3.58665","","","","","IAEA 2017-21"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2014","Western Pacific","Mongolia","33.26","33.25924","","","","",""
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2014","Eastern Mediterranean","Oman","149.75","149.75141","","","","",""
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2014","Americas","Panama","278.54","278.53876","","","","",""
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2014","Americas","Paraguay","7.33","7.32658","","","","","only public sector data"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2014","Europe","Romania","41.84","41.84391","","","","",""
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2014","Europe","Serbia","84.56","84.55747","","","","",""
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2014","Europe","Slovenia","136.17","136.16758","","","","","only public sector data"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2014","Western Pacific","Tonga","0.00","0.00000","","","","",""
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2014","Eastern Mediterranean","Tunisia","22.58","22.57632","","","","","only public sector data"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2014","Americas","Saint Vincent and the Grenadines","229.86","229.85864","","","","",""
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2014","Western Pacific","Samoa","91.16","91.15770","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2014","Western Pacific","Tuvalu","0.02","0.01647","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2014","Western Pacific","Tuvalu","0.18","0.18122","","","","",""
"Total density per million population: Radiotherapy units","Published","2014","Europe","North Macedonia","0.95","0.94915","","","","","Only public sector data"
